trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
30,False,"{'a': 0.4174087379481524, 'e': 0.8799999999999999}",20,0,-79.68767292506908,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
31,False,"{'a': 0.4149042855204635, 'e': 0.8759999999999999}",25,0,-43.417519797055036,"{0: 18, 1: 0, 2: 7, 3: 0, 4: 0}",0
32,False,"{'a': 0.4124148598073407, 'e': 0.8719999999999999}",25,0,-85.16958207641312,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
33,False,"{'a': 0.40994037064849664, 'e': 0.8679999999999999}",20,0,-106.09031917706368,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
34,False,"{'a': 0.40748072842460564, 'e': 0.8639999999999999}",25,0,-181.34877338172961,"{0: 15, 1: 3, 2: 1, 3: 3, 4: 3}",0
35,False,"{'a': 0.405035844054058, 'e': 0.8599999999999999}",30,0,-92.62527501169932,"{0: 22, 1: 2, 2: 3, 3: 2, 4: 1}",0
36,False,"{'a': 0.4026056289897337, 'e': 0.8559999999999999}",20,0,-99.07750411227327,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
37,False,"{'a': 0.4001899952157953, 'e': 0.8519999999999999}",25,0,-169.00674176649636,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 2}",0
38,False,"{'a': 0.3977888552445005, 'e': 0.8479999999999999}",30,0,-160.97109656313,"{0: 19, 1: 3, 2: 5, 3: 0, 4: 3}",0
39,False,"{'a': 0.39540212211303355, 'e': 0.8439999999999999}",30,9,-94.44950711845657,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 2}",1
40,False,"{'a': 0.39302970938035536, 'e': 0.8399999999999999}",20,5,-59.40012856602704,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 1}",1
41,False,"{'a': 0.3906715311240732, 'e': 0.8359999999999999}",30,3,-32.48029114100134,"{0: 19, 1: 5, 2: 3, 3: 0, 4: 0}",1
42,False,"{'a': 0.3883275019373288, 'e': 0.8319999999999999}",20,11,-47.98345068295395,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 1}",1
43,False,"{'a': 0.3859975369257048, 'e': 0.8279999999999998}",30,0,-174.55725240309516,"{0: 18, 1: 3, 2: 4, 3: 3, 4: 2}",0
44,False,"{'a': 0.3836815517041506, 'e': 0.8239999999999998}",25,0,-56.40265321891934,"{0: 15, 1: 7, 2: 2, 3: 1, 4: 0}",0
45,False,"{'a': 0.3813794623939257, 'e': 0.8199999999999998}",25,0,-117.1032555156004,"{0: 14, 1: 1, 2: 9, 3: 0, 4: 1}",0
46,False,"{'a': 0.3790911856195621, 'e': 0.8159999999999998}",20,0,-84.91343524115926,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
47,False,"{'a': 0.37681663850584474, 'e': 0.8119999999999998}",25,0,-45.420413316107926,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
48,False,"{'a': 0.3745557386748097, 'e': 0.8079999999999998}",25,0,-162.67121568286322,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
49,False,"{'a': 0.3723084042427608, 'e': 0.8039999999999998}",20,0,-123.24222834483058,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
50,False,"{'a': 0.37007455381730425, 'e': 0.7999999999999998}",25,0,-155.77510544053158,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
51,False,"{'a': 0.3678541064944004, 'e': 0.7959999999999998}",30,0,-117.08911683424355,"{0: 18, 1: 2, 2: 9, 3: 0, 4: 1}",0
52,False,"{'a': 0.36564698185543404, 'e': 0.7919999999999998}",30,0,-119.61440212731364,"{0: 18, 1: 4, 2: 6, 3: 1, 4: 1}",0
53,False,"{'a': 0.3634530999643014, 'e': 0.7879999999999998}",25,13,-15.216794017615578,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
54,False,"{'a': 0.3612723813645156, 'e': 0.7839999999999998}",20,3,-20.0507301040194,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 0}",1
55,False,"{'a': 0.3591047470763285, 'e': 0.7799999999999998}",20,0,-109.51224928103493,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
56,False,"{'a': 0.35695011859387055, 'e': 0.7759999999999998}",20,0,-16.408122762999877,"{0: 14, 1: 5, 2: 1, 3: 0, 4: 0}",0
57,False,"{'a': 0.3548084178823073, 'e': 0.7719999999999998}",20,6,-20.205840997115352,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
58,False,"{'a': 0.3526795673750135, 'e': 0.7679999999999998}",20,12,1.5361730301463943,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.3505634899707634, 'e': 0.7639999999999998}",20,12,2.339706476004567,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
60,False,"{'a': 0.3484601090309388, 'e': 0.7599999999999998}",25,0,-218.1639298502639,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 5}",0
61,False,"{'a': 0.3463693483767532, 'e': 0.7559999999999998}",20,0,-56.14823338740556,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
62,False,"{'a': 0.34429113228649266, 'e': 0.7519999999999998}",20,0,-56.839889941146154,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
63,False,"{'a': 0.3422253854927737, 'e': 0.7479999999999998}",25,13,-99.69018119623482,"{0: 6, 1: 0, 2: 3, 3: 2, 4: 1}",1
64,False,"{'a': 0.34017203317981703, 'e': 0.7439999999999998}",20,0,-23.17089351286647,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
65,False,"{'a': 0.3381310009807381, 'e': 0.7399999999999998}",20,7,-42.82456090926148,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
66,False,"{'a': 0.3361022149748537, 'e': 0.7359999999999998}",20,0,-132.3269755093467,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
67,False,"{'a': 0.33408560168500456, 'e': 0.7319999999999998}",20,0,-32.01648935836744,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
68,False,"{'a': 0.33208108807489456, 'e': 0.7279999999999998}",20,0,-42.05582256249663,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
69,False,"{'a': 0.3300886015464452, 'e': 0.7239999999999998}",25,0,-83.40598006148119,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
70,False,"{'a': 0.3281080699371665, 'e': 0.7199999999999998}",25,0,-59.49402470940902,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
71,False,"{'a': 0.3261394215175435, 'e': 0.7159999999999997}",20,0,-74.95431579546681,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
72,False,"{'a': 0.3241825849884382, 'e': 0.7119999999999997}",30,0,-160.59099939502087,"{0: 21, 1: 2, 2: 2, 3: 2, 4: 3}",0
73,False,"{'a': 0.3222374894785076, 'e': 0.7079999999999997}",25,1,-70.87919021277042,"{0: 13, 1: 6, 2: 4, 3: 1, 4: 0}",1
74,False,"{'a': 0.32030406454163657, 'e': 0.7039999999999997}",20,0,-96.47883039178569,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
75,False,"{'a': 0.31838224015438676, 'e': 0.6999999999999997}",30,0,-96.52016068858255,"{0: 20, 1: 5, 2: 2, 3: 2, 4: 1}",0
76,False,"{'a': 0.31647194671346046, 'e': 0.6959999999999997}",20,0,7.020361745118149,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
77,False,"{'a': 0.3145731150331797, 'e': 0.6919999999999997}",20,0,-50.01798057433511,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
78,False,"{'a': 0.3126856763429806, 'e': 0.6879999999999997}",25,0,-77.04287267782335,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 2}",0
79,False,"{'a': 0.31080956228492274, 'e': 0.6839999999999997}",25,0,-43.870500814038216,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
80,False,"{'a': 0.3089447049112132, 'e': 0.6799999999999997}",20,0,-116.08807623525048,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
81,False,"{'a': 0.3070910366817459, 'e': 0.6759999999999997}",25,0,-111.88483114539962,"{0: 17, 1: 0, 2: 5, 3: 2, 4: 1}",0
82,False,"{'a': 0.3052484904616554, 'e': 0.6719999999999997}",35,16,-2.295405996775348,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 0}",1
83,False,"{'a': 0.3034169995188855, 'e': 0.6679999999999997}",30,10,-17.14405479766664,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",1
84,False,"{'a': 0.3015964975217722, 'e': 0.6639999999999997}",20,1,-56.580862536552125,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 1}",1
85,False,"{'a': 0.2997869185366416, 'e': 0.6599999999999997}",20,0,-72.0888454489553,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
86,False,"{'a': 0.29798819702542173, 'e': 0.6559999999999997}",25,7,-77.86821082520886,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 1}",1
87,False,"{'a': 0.2962002678432692, 'e': 0.6519999999999997}",20,8,-6.927249640764455,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
88,False,"{'a': 0.29442306623620956, 'e': 0.6479999999999997}",25,0,-214.98924876799163,"{0: 14, 1: 2, 2: 4, 3: 1, 4: 4}",0
89,False,"{'a': 0.2926565278387923, 'e': 0.6439999999999997}",25,11,-56.43248166928728,"{0: 8, 1: 1, 2: 3, 3: 2, 4: 0}",1
90,False,"{'a': 0.29090058867175955, 'e': 0.6399999999999997}",20,0,-82.58375727054928,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
91,False,"{'a': 0.289155185139729, 'e': 0.6359999999999997}",30,0,-27.116254227870684,"{0: 23, 1: 2, 2: 5, 3: 0, 4: 0}",1
92,False,"{'a': 0.2874202540288906, 'e': 0.6319999999999997}",20,0,-23.4044205167543,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
93,False,"{'a': 0.28569573250471725, 'e': 0.6279999999999997}",20,0,-105.75098533105577,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
94,False,"{'a': 0.28398155810968895, 'e': 0.6239999999999997}",30,2,-231.42036344108234,"{0: 15, 1: 2, 2: 4, 3: 4, 4: 3}",1
95,False,"{'a': 0.28227766876103083, 'e': 0.6199999999999997}",30,0,-36.00589056494482,"{0: 23, 1: 2, 2: 4, 3: 1, 4: 0}",0
96,False,"{'a': 0.2805840027484646, 'e': 0.6159999999999997}",20,0,-88.77357943108551,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
97,False,"{'a': 0.2789004987319738, 'e': 0.6119999999999997}",25,14,9.840478637704175,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.277227095739582, 'e': 0.6079999999999997}",20,0,-142.6637019462357,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
99,False,"{'a': 0.2755637331651445, 'e': 0.6039999999999996}",30,0,-33.36926424642922,"{0: 25, 1: 3, 2: 1, 3: 0, 4: 1}",0
